"","V1","V2","V3","V4","V5"
"outtmp",17.6496147050824,0.393203060377038,-0.107490948489424,-0.89083681890399,-0.917877445711756
"outtmp",17.6768073282881,0.0620893681341653,0.0248853353823592,-0.789896170198945,-1.74711519669354
"outtmp",17.789525143532,0.257390125938911,0.13388848427085,-0.679244513181182,-1.37819599068264
"outtmp",17.6508197242092,0.308717463027229,0.172942550464392,-0.633006852418847,-0.78788460587371
"outtmp",17.3869337573669,0.374845497805156,0.143615797223444,-0.792061500755866,-0.697963977579357
"outtmp",17.5373201311667,0.31945368968648,0.209121212036503,-0.295857839625494,-0.637783803771361
"outtmp",17.7378371319089,0.34874955199947,0.224300897412224,-0.506719348209248,-1.25626699081498
"outtmp",17.6468578223619,0.463784112510645,0.11944791984316,-0.74953794260518,-1.19200200069358
"outtmp",17.6926951300054,0.274662514351362,-0.0696044542256499,-0.736691988248221,-1.12762751764414
"outtmp",17.5984965428174,0.332463080836086,0.114487330593367,-0.498954334028355,-1.35539729580614
"outtmp",17.6057452891693,0.36260314138052,0.113301808419387,-0.526095489085747,-0.982510110236903
"outtmp",17.6824941671432,0.238585700310611,0.0242794592465523,-0.579448302303971,-1.05995383953376
"outtmp",17.689677866415,0.555722583160274,0.443377615052164,-0.402986854557047,-1.34819293369586
"outtmp",17.5717081687751,0.460411402404091,0.0932144218660833,-0.488459068914396,-0.877390355210265
"outtmp",17.5331362317955,0.525466860661142,0.0218217718322925,-0.597018590484831,-0.98972420513177
"outtmp",17.3836567893571,0.393391042180042,0.253407161412796,-0.252496500263971,-0.821190491859472
"outtmp",17.7110636970681,0.168852044473846,-0.179914505226204,-0.785307576783531,-1.24404754963664
"outtmp",17.6031863228026,0.338696563208529,0.159064459625642,-0.114716486245342,-0.804725004826814
"outtmp",17.6833973793867,0.430442054679144,0.034180065932029,-0.549346692177472,-1.09279881306403
"outtmp",17.8096236466779,0.375012502381425,-0.130337156066537,-0.583645945258435,-1.19273357760809
"outtmp",17.8490731452655,0.447597997734531,-0.0820046431950676,-0.471251473568094,-1.04555275995811
"outtmp",17.5063947622348,0.403757292350579,-0.168177464501875,-0.82889743183849,-1.44464527842615
"outtmp",17.5839991688705,0.361860520042192,0.0967643568223124,-0.971906782401361,-1.08779081951533
"outtmp",17.7726930095088,0.294639548952032,-0.0218672825414246,-0.441078559937541,-1.1028137769452
"outtmp",17.7097709105464,0.33655205989473,0.0614864775433701,-0.583305374829252,-0.977476551876048
"outtmp",17.4949840054509,0.458001713648882,0.211549690750365,-0.171527864554764,-0.8387146903365
"outtmp",17.6261906687707,0.383313083523577,0.00196641040556129,-0.530330980310165,-1.3281210174595
"outtmp",17.7359004945134,0.310186272792732,-0.173004787145154,-0.810358363299107,-0.996324038837875
"outtmp",17.6020780384841,0.285304011232068,-0.0125117056493162,-0.788249223992544,-1.53531711791096
"outtmp",17.4206433611187,0.4038588213252,0.117739857295835,-0.635216565025897,-0.991564432185019
"outtmp",17.6214617787957,0.306625712854902,0.171182384432228,-0.456479091237759,-1.42433099227369
"outtmp",17.7312308642311,0.388560011460316,0.401106343443283,-0.786172490745763,-1.13535540248279
"outtmp",17.6137947483679,0.350254348568985,0.206426530502141,-0.47770808386557,-1.48176579640059
"outtmp",17.7275724375378,0.266814452686973,-0.158716379118535,-0.914707075853556,-1.21776816650073
"outtmp",17.7650440378154,0.168200616552999,-0.135945296789446,-0.496860737384255,-1.06674358149377
"outtmp",17.5754533212103,0.239226294283852,0.0656904645800546,-0.508885647139863,-1.08989083779992
"outtmp",17.4340073605725,0.387845970034944,0.132139385435532,-0.438947695653317,-0.730548439663041
"outtmp",17.6287801971077,0.496230361714098,0.431485569857472,-0.542249128495095,-0.971407401201691
"outtmp",17.8406137669754,0.293639522721377,-0.0320197311585839,-0.985056650128618,-1.23204985345001
"outtmp",17.5785251581718,0.21418271061332,-0.219145714995907,-0.664994142948049,-1.18090343266139
"outtmp",17.6591178516963,0.424161051142754,0.0964349071376535,-0.639750365809116,-1.28429805221872
"outtmp",17.5348498824759,0.47039091200149,0.268933141020826,-0.492052142111115,-0.944584211676724
"outtmp",17.752919630776,0.51045016954136,0.0903719499097298,-0.643498731773438,-0.865507962519317
"outtmp",17.5736479017475,0.27757881930347,0.00612849915765909,-0.617263985415379,-0.605570379373597
"outtmp",17.577536806489,0.337433008910997,0.206730935767278,-0.380746129482611,-1.14855348117901
"outtmp",17.5511967710107,0.315201361232888,0.146573499194619,-0.454286618301947,-1.30465634036951
"outtmp",17.5425486616739,0.436572023152187,0.0563451345805983,-0.485463564686217,-1.61728678590273
"outtmp",17.7046599726723,0.166275723933494,0.174852513663739,-0.694420076711795,-1.40684828108866
"outtmp",17.528367206378,0.397735822510033,0.114109723920171,-0.774699373955035,-0.928493071170737
"outtmp",17.6641621470319,0.27370388400182,-0.149628853173647,-0.603892983209644,-0.333925530784494
"outtmp",17.8280165218772,0.252023654230584,0.0916585528360956,-0.672411698277879,-1.10777537433332
"outtmp",17.714283707608,0.322695037035712,0.0240991163043387,-0.673359176292351,-1.23801363959598
"outtmp",17.5696268404997,0.407364686379761,0.22733283116786,-0.150616933842782,-0.871640871218868
"outtmp",17.6284879333689,0.301477991993846,-0.121021305692199,-0.543051411570138,-1.04642179903933
"outtmp",17.5222486559748,0.452911234628912,0.0718165122805106,-0.327214964642293,-0.631044692295426
"outtmp",17.6381989055533,0.34576203624056,0.238316890374899,-0.722578335845253,-1.09015727092645
"outtmp",17.6202006401379,0.418046262785702,0.263017381384595,-0.398985120118217,-0.571829446605784
"outtmp",17.5315607147392,0.351418436305206,0.093712779129296,-0.843005072167099,-1.14617310408594
"outtmp",17.7760627281196,0.338120423392444,0.113927197723324,-0.615983083196651,-1.68280879778001
"outtmp",17.6599737151759,0.127955777400773,-0.0709692381178027,-0.632509969552535,-1.19391519535511
"outtmp",17.7424259246385,0.479939336735362,0.101477768012661,-0.685691559076317,-1.33591357676274
"outtmp",17.7836926433163,0.387811363838431,0.0139659462305813,-0.618442889408401,-1.33776300935824
"outtmp",17.6430149767684,0.372744824425237,0.0873250289078624,-0.407034451377899,-1.15652663626106
"outtmp",17.6915714370886,0.39247055538846,0.0113001638375592,-0.727519234967927,-1.08093217092503
"outtmp",17.5602476339994,0.378537399361844,0.223354253821111,-0.466981835981156,-0.782407407979202
"outtmp",17.4991085892567,0.275933136247834,0.116738013641476,-0.368612343415038,-1.2850672873514
"outtmp",17.8848957678017,0.0467157764727793,-0.198120524697197,-1.07027790707622,-1.24145218853289
"outtmp",17.6674540578982,0.13826049324145,0.112841412025049,-0.40374713890049,-0.999891814897285
"outtmp",17.5347218815437,0.358645918784084,0.137709795693207,-0.754737454988866,-1.13720978345404
"outtmp",17.6734383235844,0.315912581953204,-0.138018072420586,-0.361353988562164,-0.943561988658607
"outtmp",17.4974283693131,0.607834012388593,0.424109332475602,-0.272190750310599,-0.845793557301226
"outtmp",17.5335286086761,0.558494487137298,0.0302409865103266,-0.565143296338738,-1.05145379583671
"outtmp",17.7517222037774,0.175444443706328,-0.0545280127118693,-0.579276972911668,-1.0992793825014
"outtmp",17.7148635467058,0.307799355542309,-0.218082206115721,-0.891906659866048,-1.5931412401185
"outtmp",17.5960171835599,-0.0248530312889833,-0.262632048912762,-0.964156821447565,-1.05274322650373
"outtmp",17.7104049567574,0.402463601449635,0.0688436124777723,-0.483566552055159,-1.55772461334417
"outtmp",17.5145828521363,0.413216116570748,0.100589017925274,-0.819952717570187,-1.47390898925532
"outtmp",17.5350008373531,0.390207364240059,0.249345557867824,-0.667112502403887,-1.08015015853702
"outtmp",17.6676745701894,0.119388427964168,-0.00241789355928728,-0.503292204712858,-0.922198113825348
"outtmp",17.5031424719563,0.267882654279317,-0.0161516540982489,-0.849911875391056,-1.17173844561
"outtmp",17.4539648017156,0.306290381902237,0.138800540642698,-0.194415884110814,-1.12046671946539
"outtmp",17.4564306850361,0.472964413720507,0.186876131946911,-0.515276763287123,-1.00792096608564
"outtmp",17.6208949275996,0.310946115667225,-0.0164769633528598,-0.349850455579175,-0.755616075785272
