,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90
1,17.8127443735,0.8649961829,1.1072380584,0.9569191106,0.2628025046,0.1859852128,-0.7116902141,-1.2009916065,-2.1489131919,-1.0588412053,17.8127443735,0.6427070627,0.7649063033,0.5554647209,-0.610398887,0.1859852128,-0.719538807,-1.0887525041,-2.078780828,-0.6261056222,17.8127443735,0.6456695306,0.7445168002,0.5454505368,-0.5599390005,0.1859852128,-0.7213741613,-1.0774265421,-2.0918497037,-0.6635905485,17.8127443735,0.6332586005,0.829600872,0.6005083134,-0.4138396114,0.1859852128,-0.7133693445,-1.2051373605,-2.1361308832,-0.9902431109,17.8127443735,0.6543739569,0.8174483677,0.6306508256,-0.416190586,0.1859852128,-0.7490357478,-1.1860232088,-2.129571723,-0.9788624051,17.8127443735,0.6376053591,0.7944734981,0.4470663568,-0.5608719395,0.1859852128,-0.7131432498,-1.1832389931,-2.0082467589,-1.0800403731,17.8127443735,0.652026611,0.7857411441,0.5522165996,-0.3026319635,0.1859852128,-0.7364059738,-1.1378607178,-2.0282500537,-1.1626951041,17.8127443735,0.6404315638,0.75992884,0.4431236437,-0.5863650481,0.1859852128,-0.7357957663,-1.143068175,-1.9877429144,-1.0344924629,17.8127443735,0.671519268,0.7960451193,0.5493345399,-0.3087193201,0.1859852128,-0.761696432,-1.1479274438,-2.0082975438,-1.1502599888
2,17.6044034654,1.0250604536,1.2320378279,1.0586816924,0.4747224491,0.1983470933,-0.8836147048,-1.4317623814,-1.9975427615,-2.0582541694,17.6044034654,0.8383141798,0.8664615095,0.8826295924,0.3229304277,0.1983470933,-0.9631112203,-1.346732031,-2.0047659195,-2.2151354649,17.6044034654,0.8472376335,0.8635678873,0.8692881952,0.3267532818,0.1983470933,-0.9574197119,-1.3465830686,-1.9987063989,-2.2105579227,17.6044034654,0.7979800025,0.9250881256,0.9221998929,0.368658616,0.1983470933,-0.8658737079,-1.5272839818,-2.1769452886,-2.2204702126,17.6044034654,0.7927491043,0.8947390169,0.7312894252,0.3157344654,0.1983470933,-0.8291916466,-1.4794002068,-2.0028799253,-2.1435436552,17.6044034654,0.8060983711,0.8595438119,0.7013687806,-0.0091730418,0.1983470933,-0.8892883924,-1.4906978654,-2.0557940907,-1.9537925806,17.6044034654,0.8002784429,0.8655577799,0.6892857718,0.2237826588,0.1983470933,-0.8595330582,-1.4693560851,-1.9818887176,-1.9460091907,17.6044034654,0.8045205628,0.842293905,0.6560284914,-0.0680433841,0.1983470933,-0.8719405843,-1.4557248443,-2.0161898331,-1.8654545155,17.6044034654,0.7978712425,0.8649565079,0.6936622671,0.2368567404,0.1983470933,-0.8444172856,-1.4567990523,-1.9758656123,-1.9143585255
3,17.5208907704,0.6832676302,1.126561317,0.1410416707,-0.2538361278,0.0864229042,-0.5275139257,-1.0564948978,-1.0559012299,-0.9725645203,17.5208907704,0.4750585394,0.9540427024,0.0135798098,-0.4003078653,0.0864229042,-0.5569989072,-1.094795352,-1.1116822185,-1.0356499828,17.5208907704,0.4834536194,0.9147560209,0.0258879454,-0.39457526,0.0864229042,-0.5590950294,-1.060340892,-1.1370255013,-1.0367660221,17.5208907704,0.5021915097,0.9570620837,0.0225818478,-0.4741430921,0.0864229042,-0.6479058559,-1.0718005214,-1.0829067513,-0.8193409261,17.5208907704,0.5140885388,0.9467677036,0.020955405,-0.4710275202,0.0864229042,-0.6645642805,-1.1038020119,-1.123547366,-0.8410940669,17.5208907704,0.5089463379,0.8876056812,-0.0640087614,-0.5023546729,0.0864229042,-0.6526175508,-1.0433932578,-1.0315783276,-0.8904615366,17.5208907704,0.5148910724,0.9046832819,-0.0171176182,-0.3897455861,0.0864229042,-0.6566422817,-1.0424160922,-1.0494527556,-0.9275860998,17.5208907704,0.5231595651,0.8682673608,-0.0986574264,-0.5213792915,0.0864229042,-0.6729459292,-1.03931619,-1.0176580172,-0.9068463891,17.5208907704,0.5118501657,0.8940711761,0.0081832851,-0.3963946584,0.0864229042,-0.6404240817,-1.0189881411,-1.0447180026,-0.8850212468
4,17.6544045627,1.0065886844,1.5047439863,1.0735754661,0.5690554529,0.0092896889,-0.8651754648,-1.644488837,-1.6103007021,-1.0378734725,17.6544045627,0.843849267,1.1439277624,0.6261208073,0.2828448724,0.0092896889,-0.8107884102,-1.5491509868,-1.579654805,-1.1178584206,17.6544045627,0.8627379055,1.1246814173,0.6021596564,0.2572792292,0.0092896889,-0.8029770421,-1.5180123112,-1.5192248272,-1.1105922073,17.6544045627,0.796651964,1.0963919687,0.7250915332,0.5014181841,0.0092896889,-0.6993122887,-1.4575835969,-1.6359945634,-1.4697312295,17.6544045627,0.8008062591,1.0655932568,0.6813704779,0.5264242538,0.0092896889,-0.6591652631,-1.3907239782,-1.5296088286,-1.4716202728,17.6544045627,0.7955292599,1.0449871334,0.5703004486,0.1176175908,0.0092896889,-0.6982408371,-1.4254100163,-1.4860172217,-1.0838112462,17.6544045627,0.7991678225,1.0560523075,0.6165849334,0.282546338,0.0092896889,-0.6632579965,-1.3852276294,-1.4489030621,-1.0850096809,17.6544045627,0.8033729779,1.0392358525,0.5699857317,0.1241778606,0.0092896889,-0.7252882658,-1.4509919087,-1.5013673244,-1.1052322255,17.6544045627,0.8086368118,1.0738915415,0.6639708852,0.3502358479,0.0092896889,-0.6709560368,-1.4189840903,-1.5032464868,-1.1747844811
5,17.8213187121,0.7722455834,1.2840169701,0.6413940607,-0.0468391641,-0.2458123157,-0.8458715985,-1.3150836717,-1.6037083145,-1.4310163006,17.8213187121,0.6719478869,1.0923302987,0.3826775524,-0.3972213325,-0.2458123157,-0.8990366992,-1.3655472404,-1.7182711043,-1.647139439,17.8213187121,0.668127744,1.0719439551,0.3568849834,-0.3282625598,-0.2458123157,-0.9056921527,-1.3521009835,-1.7073315195,-1.6266657773,17.8213187121,0.656930128,1.0417636525,0.1293335022,-0.4790550675,-0.2458123157,-0.8857358305,-1.2333891438,-1.2654623815,-1.3751764869,17.8213187121,0.6579803428,1.0375187818,0.1775798972,-0.4387646048,-0.2458123157,-0.9047860835,-1.2195919121,-1.2726682985,-1.3945837062,17.8213187121,0.6518577753,1.0041245741,-0.0721616313,-0.6924093154,-0.2458123157,-0.873589279,-1.2287302243,-1.0685076419,-1.2444788043,17.8213187121,0.655083597,1.0381871886,0.0657559491,-0.4986575707,-0.2458123157,-0.8966467371,-1.234456755,-1.0963061742,-1.2901634295,17.8213187121,0.6695560556,0.9519266131,-0.1633676171,-0.7598572725,-0.2458123157,-0.899806254,-1.1809418955,-0.9570847882,-1.1530002528,17.8213187121,0.6664678902,1.0602596221,0.1061685878,-0.4443454912,-0.2458123157,-0.9052315957,-1.2608501883,-1.111944261,-1.3633359374
6,17.6001597726,0.6684422074,1.1777731127,0.6686721463,-0.3697622319,-0.0694205313,-0.4198528673,-0.9464118034,-1.3167587477,-0.9375108255,17.6001597726,0.5369311816,0.9043040396,0.2693252471,-1.0451543069,-0.0694205313,-0.4511782835,-1.0152582455,-1.1983674522,-0.6885728862,17.6001597726,0.5546062714,0.9120840118,0.2546817962,-1.0518345304,-0.0694205313,-0.4536964294,-1.0097909755,-1.1925550263,-0.68695448,17.6001597726,0.5324910938,0.8893501417,0.3467808313,-0.8498730577,-0.0694205313,-0.44709985,-0.9787254022,-1.3035215961,-0.9900030425,17.6001597726,0.549428227,0.90820034,0.3360818635,-0.8415953554,-0.0694205313,-0.4482614932,-0.9721108677,-1.2821949381,-0.9836223537,17.6001597726,0.5324508003,0.8551140749,0.2644878883,-1.0806415621,-0.0694205313,-0.4556566004,-1.0076581443,-1.3693782011,-0.9786463903,17.6001597726,0.5507767788,0.9111270911,0.3707290717,-0.8552543551,-0.0694205313,-0.4598683218,-1.0271606127,-1.4067980773,-1.0290361347,17.6001597726,0.5122260182,0.8399613715,0.2682530341,-1.09625147,-0.0694205313,-0.4448133089,-0.9823303284,-1.3860110596,-1.0392289567,17.6001597726,0.5377128351,0.9022933848,0.3834760706,-0.7980012549,-0.0694205313,-0.4528830669,-1.0053306561,-1.3863090014,-1.0551233019
7,17.6250152266,0.9110970868,1.3810209059,1.2449628034,0.5475430565,0.0640606523,-0.5748743011,-1.2572289581,-2.4562310433,-2.1149699851,17.6250152266,0.6862792357,0.9013865365,0.5134397499,-0.4039985093,0.0640606523,-0.5707666896,-1.0340300256,-1.9971431972,-1.6444139041,17.6250152266,0.66950437,0.8657706502,0.5240907029,-0.3435063037,0.0640606523,-0.562803724,-0.9967575134,-1.9913779031,-1.6918844365,17.6250152266,0.7025570047,1.0063693374,0.5386425325,-0.3444697632,0.0640606523,-0.6439385511,-1.1685782855,-2.0739232383,-1.6125030723,17.6250152266,0.6982000117,0.9925352256,0.5922228427,-0.3044182637,0.0640606523,-0.6648784412,-1.1878357436,-2.226551231,-1.6667629172,17.6250152266,0.703240475,1.0061811119,0.6295271666,-0.2198293943,0.0640606523,-0.6469828795,-1.2529694679,-2.2535265344,-1.7863876841,17.6250152266,0.6958400076,1.0250500349,0.7123732746,-0.0274456875,0.0640606523,-0.6648697773,-1.2784210894,-2.4029432931,-1.8953462201,17.6250152266,0.7362436139,1.0130718039,0.6120116481,-0.2710708328,0.0640606523,-0.6754281316,-1.2809275903,-2.2470316805,-1.7411430257,17.6250152266,0.6819526633,1.021971488,0.7411015565,-0.0099409041,0.0640606523,-0.6558859011,-1.2504967069,-2.411622483,-1.8866735892
8,17.5615674939,0.7879759058,1.5104423927,1.1176935823,1.0134427434,0.1522071601,-0.2616857334,-1.1395245647,-1.6286375227,-1.783669515,17.5615674939,0.6420663808,1.2161453282,0.6151173034,0.681748205,0.1522071601,-0.3529854269,-1.1278096413,-1.4266908447,-1.7054936394,17.5615674939,0.6465840291,1.2098880786,0.5614037887,0.6921041718,0.1522071601,-0.3493400853,-1.1250933896,-1.3720337265,-1.7085843096,17.5615674939,0.6666543388,1.2247324002,0.7303955176,0.6404074884,0.1522071601,-0.4003462311,-1.1725324729,-1.6452921877,-1.7107677996,17.5615674939,0.6494410893,1.1911120332,0.7524365562,0.6274949195,0.1522071601,-0.3491215817,-1.1557985464,-1.698612536,-1.6942026374,17.5615674939,0.6445699075,1.1986587586,0.7673796575,0.3901765525,0.1522071601,-0.3633973254,-1.1760625128,-1.7040559226,-1.5751524557,17.5615674939,0.6299920889,1.1896423881,0.8604842684,0.5449575449,0.1522071601,-0.3234490137,-1.1765963759,-1.7803007927,-1.6249666863,17.5615674939,0.6432169042,1.1499340972,0.7337329372,0.4068196417,0.1522071601,-0.3719189046,-1.1105431526,-1.7161562738,-1.6231553186,17.5615674939,0.6216295536,1.1727974114,0.8555498481,0.569341991,0.1522071601,-0.3254822665,-1.1626020093,-1.7713950866,-1.6669533115
9,17.6276108751,0.8832371911,0.9522299902,0.9253948344,0.3855761452,0.1496314373,-0.6854708469,-1.1735788144,-2.1112384856,-1.6170093164,17.6276108751,0.7966548333,0.716744827,0.6295282223,0.1196914696,0.1496314373,-0.7132407288,-1.1355143867,-2.0341093458,-1.8366675342,17.6276108751,0.80362722,0.7561065243,0.6081499211,0.1155760697,0.1496314373,-0.7008553934,-1.1405618141,-2.0204400932,-1.8707278632,17.6276108751,0.7648807062,0.6854530289,0.5690223147,0.0755145469,0.1496314373,-0.6396953966,-1.0608411935,-1.9390750023,-1.6454389203,17.6276108751,0.766002265,0.732786797,0.4547587801,0.0798010569,0.1496314373,-0.6140427502,-1.0570090798,-1.787275297,-1.648505846,17.6276108751,0.7667543927,0.6767418704,0.4294546966,-0.245597923,0.1496314373,-0.6438255798,-1.0788678774,-1.8435502082,-1.346114267,17.6276108751,0.7693940464,0.7432487303,0.4508338181,-0.0663546708,0.1496314373,-0.6185852948,-1.062421032,-1.754480037,-1.3517835047,17.6276108751,0.7610928965,0.6772563584,0.4284550911,-0.2699263938,0.1496314373,-0.6469408588,-1.0912758328,-1.845922053,-1.3480074627,17.6276108751,0.7607631033,0.7576240257,0.4899561058,-0.031499357,0.1496314373,-0.588903361,-1.0586815167,-1.7829163571,-1.36292393
10,17.5930724959,1.0295708366,1.3837258226,0.9277486737,0.6079451306,0.1103598,-0.8515797377,-1.5972691564,-2.0251551631,-2.6595691491,17.5930724959,0.8394360425,1.1402223545,0.6374576891,0.3261514054,0.1103598,-0.8600186178,-1.6080953789,-2.0432153724,-3.1297123843,17.5930724959,0.8511692901,1.1260945608,0.6153590441,0.3325734557,0.1103598,-0.8475548428,-1.5903971562,-2.0402336623,-3.1684971337,17.5930724959,0.7678273924,1.0969643975,0.5261399757,-0.1672196638,0.1103598,-0.7203709442,-1.5155033236,-1.8814385493,-2.1299312674,17.5930724959,0.7827606013,1.1294294257,0.5572550604,-0.1392785779,0.1103598,-0.7134006968,-1.5514657017,-1.9149943731,-2.166470571,17.5930724959,0.7605540672,1.084419364,0.4741091212,-0.1867720209,0.1103598,-0.7158471932,-1.5122595335,-1.8632150145,-2.1860710162,17.5930724959,0.77986791,1.1542526723,0.6143930304,-0.0685633476,0.1103598,-0.7230783033,-1.5882010785,-1.941089498,-2.2266436663,17.5930724959,0.750444164,1.0895451696,0.4877980152,-0.2245730698,0.1103598,-0.7031265439,-1.4970915561,-1.8736816317,-2.1545269711,17.5930724959,0.759582074,1.1390846664,0.6147145178,-0.0801589465,0.1103598,-0.6679118119,-1.5385369694,-1.8756799441,-2.1497174634
11,17.3807035697,0.5880175631,1.1113463361,0.505798021,-0.2729473107,0.3843383157,-0.4205128497,-1.1019767572,-1.6233573379,-0.6988701775,17.3807035697,0.433762968,0.8652447858,0.1633648621,-0.6429817937,0.3843383157,-0.4513533332,-1.1423408936,-1.4925458324,-0.6772369293,17.3807035697,0.432514259,0.8637187979,0.1866707894,-0.6468348484,0.3843383157,-0.4514758027,-1.1468327627,-1.5147190587,-0.6729020027,17.3807035697,0.4653289277,0.8738278548,0.3906887815,-0.5983844538,0.3843383157,-0.5258336216,-1.0819966297,-1.7353898954,-0.8011347333,17.3807035697,0.4953808926,0.8884784241,0.5031968594,-0.565597268,0.3843383157,-0.5890032848,-1.0945413586,-1.8480392398,-0.8453042625,17.3807035697,0.4591455314,0.8098089346,0.2976076027,-0.842246405,0.3843383157,-0.5091565462,-1.0325600356,-1.6958412841,-0.7157836752,17.3807035697,0.4879680262,0.8769754322,0.4918057277,-0.561657803,0.3843383157,-0.5740179473,-1.0795800084,-1.8309570981,-0.8831032151,17.3807035697,0.4601781302,0.8066944064,0.2907210546,-0.9109814547,0.3843383157,-0.5307810908,-1.0458121583,-1.7026154214,-0.704032547,17.3807035697,0.4941829311,0.8972283865,0.5154147267,-0.5105747639,0.3843383157,-0.6006473198,-1.110753902,-1.8289457591,-0.8901987003
12,17.5788116981,0.8838617723,1.3348425828,0.6444598708,-0.41223888,0.1926838793,-0.6189778338,-1.2314273663,-1.6279727499,-0.7439612968,17.5788116981,0.7695149224,1.0367364639,0.4053343067,-0.7069808268,0.1926838793,-0.6462647029,-1.1292574736,-1.5674784468,-0.5672437621,17.5788116981,0.7748373662,1.0305615999,0.4147986182,-0.7339668691,0.1926838793,-0.6286741722,-1.1040395284,-1.5552692528,-0.5419591587,17.5788116981,0.8123053526,1.0850042451,0.4747361682,-0.8398670666,0.1926838793,-0.7456996948,-1.28665879,-1.7389352242,-0.3830483797,17.5788116981,0.8266845408,1.0756071699,0.460523483,-0.8518706348,0.1926838793,-0.747329279,-1.2617222791,-1.6953709616,-0.3346930952,17.5788116981,0.8081080497,1.0677802762,0.4203783733,-0.8908164393,0.1926838793,-0.7373623809,-1.323669108,-1.7426918448,-0.5261646687,17.5788116981,0.8297881414,1.1145569613,0.5347659134,-0.6710743101,0.1926838793,-0.7527762324,-1.3537028636,-1.76603512,-0.5941339125,17.5788116981,0.8076660004,1.0344107969,0.3930999818,-0.8952665487,0.1926838793,-0.7276462236,-1.2716704859,-1.7057627066,-0.5281527313,17.5788116981,0.8265773308,1.1290880669,0.5624444632,-0.6660677117,0.1926838793,-0.7360733102,-1.3533510516,-1.7472956872,-0.5595959744
13,17.7896459925,0.7121193855,1.6417249234,1.4565607257,0.4601309927,-0.0237837134,-0.5350470698,-1.8468257941,-2.7109048277,-1.6543158828,17.7896459925,0.6027072725,1.3219314075,1.1262899695,-0.106309348,-0.0237837134,-0.5577716718,-1.7927969833,-2.6630939769,-1.4110584386,17.7896459925,0.5989864022,1.3364892295,1.1155096784,-0.1119472602,-0.0237837134,-0.5588135863,-1.8032461959,-2.6555291379,-1.4094395458,17.7896459925,0.5968586129,1.2606476028,0.9990230682,-0.0860411085,-0.0237837134,-0.5631681903,-1.7558287723,-2.5780833717,-1.5579408967,17.7896459925,0.5795661899,1.2433567768,0.9935678235,-0.0816647721,-0.0237837134,-0.5322454651,-1.7209809559,-2.5642628412,-1.5518128227,17.7896459925,0.5900299365,1.2205660887,0.8501356788,-0.1011216299,-0.0237837134,-0.5508433523,-1.7743866902,-2.4969338202,-1.719504205,17.7896459925,0.5723432868,1.1977813264,0.9250192171,-0.0023465141,-0.0237837134,-0.5202494774,-1.701438684,-2.4938403765,-1.7157905887,17.7896459925,0.6028805231,1.2223954214,0.8688439844,-0.0699626248,-0.0237837134,-0.5577458903,-1.7822122884,-2.558580453,-1.8317638465,17.7896459925,0.5509056031,1.168746533,0.918350247,0.0096716909,-0.0237837134,-0.4924527911,-1.6727858689,-2.4894449081,-1.7279937439
14,17.745728198,0.9620676781,1.2048556374,0.5326338358,-0.2297354102,-0.3039954777,-0.4222056312,-0.8416628017,-1.3558966674,-0.1418960873,17.745728198,0.8614113659,0.9606548595,0.1932132437,-1.1844777553,-0.3039954777,-0.4012228907,-0.7861501974,-1.2432624764,0.5916421593,17.745728198,0.8545579919,0.9571560883,0.1990588013,-1.1849634225,-0.3039954777,-0.4014157584,-0.7824924517,-1.2408532094,0.5947619423,17.745728198,0.9061720505,0.9397004488,0.2185053009,-0.8824034896,-0.3039954777,-0.4850187715,-0.7804028078,-1.3016815931,0.078950328,17.745728198,0.9019397295,0.9173838672,0.1482735194,-0.8899698891,-0.3039954777,-0.4925799288,-0.7565312768,-1.2296646075,0.0897784292,17.745728198,0.9110541244,0.9234326893,0.194624722,-0.7013499059,-0.3039954777,-0.49139669,-0.7714358257,-1.3077701105,-0.2426685231,17.745728198,0.902907778,0.8966762714,0.1685060507,-0.5937666166,-0.3039954777,-0.4916182685,-0.731337493,-1.2402723568,-0.2648066202,17.745728198,0.9025421192,0.8933277783,0.1750834755,-0.7526598732,-0.3039954777,-0.4761610297,-0.7342732249,-1.2833521089,-0.170122754,17.745728198,0.9025435521,0.8984341204,0.1648228459,-0.5602103339,-0.3039954777,-0.5068128103,-0.7328074054,-1.2076283708,-0.2615281061
