"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"outtmp",17.7897547822737,0.687252997595881,0.618356574571443,0.381138953476754,-0.919379322713913,-0.0561232118223858,-0.477102684915745,-0.938201441904494,-2.00798722154944,-1.34468597769709
"outtmp",17.6875405472662,0.576051212056514,0.504570612409257,0.139998289702797,-0.213871209600388,-0.199410761747454,-0.202893656879796,-0.699992137163797,-1.26183554040404,-1.32096632372405
"outtmp",17.7857165585347,0.887223944732899,0.982693484904335,0.642302012945645,-0.365011441693598,-0.0209071239317044,-0.623851876258607,-1.52454758099247,-2.29802967187263,-1.38078326007407
"outtmp",17.6214064343171,0.866359882337449,0.817173452775868,0.41130212111451,-0.0307073328223109,0.0337639680996999,-0.716318360128862,-0.906672867761563,-1.69792235785656,-1.42313835454689
"outtmp",17.5740051488364,0.311913529910986,0.885314171365345,0.0482780363420689,-0.341446072967668,0.261603374603498,-0.426415377934684,-1.52528510768677,-1.5980131256075,-1.58701413064074
"outtmp",17.8273159720055,0.686366512246153,0.956545282247522,0.319763388673527,0.143548979689779,-0.346691971327548,-0.606305593392448,-1.37651943219649,-1.36812845663783,-1.18149316987817
"outtmp",17.7591674402028,0.705409248169274,0.610084674859903,0.0754843509516156,0.245485696402899,-0.194571213250634,-0.339996845269551,-0.548316921537573,-0.886944684036115,-1.47434956194224
"outtmp",17.7684947815781,0.457242542628571,0.853996573729624,-0.07365362577222,-0.25090657839406,-0.106259219112048,-0.320412376639464,-1.21372704401426,-1.49228595037654,-1.40640911270716
"outtmp",17.7198682399501,0.506126113347213,0.606466819137723,0.811507681411602,-0.48236089493617,-0.0614130340133894,-0.289725588073258,-1.287982886283,-2.35773220844158,-1.12726790282694
"outtmp",17.7674772630022,0.598140003396279,0.804678542326964,0.500843153877854,-0.167358940199822,0.0877613981512649,-0.506389648372181,-1.06990868839281,-2.13529924668436,-1.71092559221375
"outtmp",17.4536250663703,0.533828322677493,0.66500451983333,0.581927180767129,0.210545050978274,0.217050305782732,-0.556081187923327,-1.14767820124542,-1.80209369907559,-1.74499105815319
